Year,BC,CH4,CO,N2O,NH3,NMVOC,NOx,OC,SO2
1909,1.623,11.480,287.620,0.787,3.426,54.819,13.076,13.451,2.019
1910,1.658,11.788,294.677,0.808,3.540,56.201,13.275,13.867,2.072
1911,1.603,11.301,283.864,0.778,3.359,54.060,12.981,13.249,1.993
1912,1.566,11.018,276.982,0.758,3.271,52.752,12.698,12.906,1.945
1913,1.582,11.194,280.409,0.767,3.336,53.439,12.753,13.113,1.968
1914,1.645,11.720,292.928,0.804,3.532,55.886,13.152,13.818,2.064
1915,1.601,11.349,284.035,0.777,3.397,54.158,12.865,13.309,1.995
1916,1.574,11.261,279.527,0.761,3.383,53.382,12.490,13.150,1.957
1917,1.625,11.441,287.241,0.785,3.401,54.701,13.144,13.384,2.013
1918,1.645,11.602,291.605,0.801,3.474,55.562,13.290,13.626,2.051
1919,1.652,11.806,293.546,0.801,3.563,56.057,13.111,13.818,2.058
1920,1.643,11.726,292.084,0.798,3.542,55.773,13.064,13.757,2.053
1921,1.614,11.355,285.538,0.782,3.379,54.373,13.073,13.322,2.006
1922,1.563,11.012,276.645,0.758,3.282,52.707,12.651,12.890,1.943
1923,1.673,11.759,294.775,0.803,3.500,56.152,13.486,13.692,2.060
1924,1.577,11.145,279.226,0.764,3.321,53.207,12.713,13.041,1.958
1925,1.583,11.136,279.331,0.762,3.296,53.179,12.822,12.964,1.951
1926,1.568,10.991,276.955,0.759,3.259,52.711,12.774,12.835,1.941
1927,1.601,11.173,281.707,0.770,3.299,53.587,13.067,12.990,1.969
1928,1.607,11.228,282.843,0.773,3.318,53.813,13.088,13.069,1.978
1929,1.613,11.405,285.298,0.779,3.401,54.368,12.971,13.309,1.996
1930,1.704,12.035,301.384,0.824,3.598,57.421,13.697,14.076,2.110
1931,1.574,11.146,278.561,0.760,3.327,53.107,12.649,12.989,1.949
1932,1.651,11.561,291.018,0.796,3.426,55.371,13.427,13.467,2.034
1933,1.592,11.329,282.317,0.770,3.394,53.861,12.715,13.238,1.977
